country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccine 1,vaccine 2,vaccine 3,population,gdp,land,cpi,lit_rate,political_stability
Slovenia,295780,191217,14.23,9.2,5.03,Oxford/AstraZeneca,Pfizer/BioNTech,,2111461,54174227309,20136.4,60,99.69999695,0.8167541
South Africa,231605,231605,0.39,0.39,0.39,Johnson&Johnson,,,59622350,3.51E+11,1213090,44,87.04666901,-0.2179309
South Korea,799090,793858,1.56,1.55,0.01,Oxford/AstraZeneca,Pfizer/BioNTech,,51824142,1.65E+12,97520,61,97.96594238,0.4780881
Spain,7067371,4561529,15.12,9.76,5.36,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,47351567,1.39E+12,499603.479,62,98.43650055,0.3228728
Sri Lanka,884164,884164,4.13,4.13,0,Oxford/AstraZeneca,,,21919000,84008783756,61864,38,91.70982361,-0.2281242
Suriname,22377,22377,3.81,3.81,0,Oxford/AstraZeneca,,,590100,3697371950,156000,38,94.38327026,0.1134033
Sweden,1482153,1034547,14.68,10.24,4.43,Oxford/AstraZeneca,Pfizer/BioNTech,,10380491,5.31E+11,407310,85,,1.051791
Switzerland,1342748,837924,15.51,9.68,5.83,Moderna,Pfizer/BioNTech,,8655100,7.03E+11,39516.03,85,,1.336993
Taiwan,9232,9232,0.04,0.04,0,Oxford/AstraZeneca,,,23539588,,,65,,0.7195977
Thailand,102050,96188,0.15,0.14,0.01,Oxford/AstraZeneca,Sinovac,,66629267,5.44E+11,510890,36,93.76776123,-0.5375581
Togo,42092,42092,0.51,0.51,0,Oxford/AstraZeneca,,,7886000,5490272413,54390,29,63.74562073,-0.805393
Trinidad and Tobago,991,991,0.07,0.07,0,Oxford/AstraZeneca,,,1366725,24269714810,5130,40,98.69999695,0.0552402
Tunisia,38853,38853,0.33,0.33,0,Pfizer/BioNTech,Sputnik V,,11708370,38796687568,155360,44,79.03643036,-0.8325363
Turkey,14652659,8217124,17.37,9.74,7.63,Sinovac,Pfizer/BioNTech,,83614362,7.61E+11,769630,40,96.15052795,-1.342829
Turks and Caicos Islands,11283,11283,29.14,29.14,0,Pfizer/BioNTech,,,42953,1197415000,950,,,
Uganda,46664,46664,0.1,0.1,0,Oxford/AstraZeneca,,,42885900,35165157017,200520,27,76.52749634,-0.6457884
Ukraine,192264,192263,0.44,0.44,0,Oxford/AstraZeneca,,,41554836,1.54E+11,579400,33,99.97434998,-1.52387
United Arab Emirates,7959682,3480415,80.48,35.19,22.12,Sinopharm/Wuhan,Sinopharm/Beijing,Oxford/AstraZeneca,9503738,4.21E+11,71020,71,93.22714233,0.7034943
United Kingdom,33020952,29727435,48.64,43.79,4.85,Oxford/AstraZeneca,Pfizer/BioNTech,,66796807,2.83E+12,241930,77,,0.5191886
United States,140180735,91707729,41.91,27.42,14.99,Johnson&Johnson,Moderna,Pfizer/BioNTech,331419358,2.14E+13,9147420,67,,0.2979858
Uruguay,509969,509672,14.68,14.67,0.01,Sinovac,Pfizer/BioNTech,,3554915,56045912953,175020,71,98.70385742,1.045503
Venezuela,12194,12194,0.04,0.04,0,Sputnik V,,,28705000,4.82E+11,882050,15,97.12709045,-1.445485
Vietnam,44000,44000,0.05,0.05,0,Oxford/AstraZeneca,,,97580000,2.62E+11,310070,36,95.00038147,0.1318749
Wales,1766098,1365355,56.02,43.31,12.71,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,
Zimbabwe,65466,65466,0.44,0.44,0,Sinopharm/Beijing,,,15790716,21440758800,386850,24,88.69342041,-0.9201785
